% Model,ConnectedTriangle_PHZ051G02_X148G55H247p6_largerange.mph
% Version,COMSOL 5.5.0.359
% Date,"Jul 23 2020, 21:13"
% Table,"Bowtie tip average norm E abs and arg (rad) - Bowtie tip average norm E abs and arg (rad) (abs(nx*Ex+ny*Ey+nz*Ez), arg(nx*Ex+ny*Ey+nz*Ez))"
% lam0 (m),freq (Hz),abs(nx*Ex+ny*Ey+nz*Ez) (V/m),arg(nx*Ex+ny*Ey+nz*Ez) (rad)
8.000000000000001E-7,3.747405725E14,4.89691258282297,1.199800259727984
8.100000000000001E-7,3.701141456790123E14,6.653186316655943,-2.9702393930560187
8.200000000000001E-7,3.656005585365854E14,7.202921540462152,-2.818053057103782
8.300000000000001E-7,3.6119573253012044E14,7.6171609231039925,-2.688741487318797
8.400000000000001E-7,3.5689578333333325E14,7.9487725079661775,-2.5805798421539987
8.500000000000001E-7,3.526970094117647E14,8.42481033589536,-2.4937474549018788
8.6E-7,3.485958813953488E14,9.055540913894767,-2.391528813010377
8.7E-7,3.44589032183908E14,9.654705899132649,-2.2838394883232596
8.8E-7,3.406732477272727E14,10.24705049224782,-2.1788470517843384
8.900000000000001E-7,3.3684545842696625E14,10.860619275180195,-2.0766874681980583
9.000000000000001E-7,3.3310273111111106E14,11.460769578131723,-1.9762909927578622
9.100000000000001E-7,3.294422615384615E14,12.081243403617247,-1.8773368991181765
9.200000000000001E-7,3.258613673913043E14,12.736818772678612,-1.7794400634248064
9.300000000000001E-7,3.2235748172043006E14,13.430463172809379,-1.6822266310007925
9.400000000000001E-7,3.189281468085106E14,14.164766438731805,-1.5853792950906866
9.5E-7,3.155710084210526E14,14.942112179562226,-1.4886144265590697
9.600000000000001E-7,3.122838104166666E14,15.764730955982742,-1.391666383069442
9.7E-7,3.090643896907216E14,16.63467180121425,-1.294275989720653
9.800000000000001E-7,3.059106714285714E14,17.553693361177938,-1.1961819083776464
9.9E-7,3.028206646464646E14,18.541670640534676,-1.096623418127473
1.0000000000000002E-6,2.9979245799999994E14,19.595652447761214,-0.9953384988981231
1.01E-6,2.968242158415841E14,20.702955977669383,-0.8923163988440156
1.02E-6,2.9391417450980394E14,21.86055510037517,-0.7872561935075353
1.03E-6,2.9106063883495144E14,23.06269036317041,-0.6798792334697369
1.0400000000000002E-6,2.882619788461538E14,24.30027066042335,-0.5699573712468834
1.0500000000000001E-6,2.855166266666666E14,25.560646277745775,-0.4573475997438219
1.06E-6,2.828230735849057E14,26.828145933901762,-0.34202511067687713
1.0700000000000001E-6,2.8017986728971956E14,28.085793425846383,-0.22409921454123732
1.08E-6,2.7758560925925922E14,29.318407579594933,-0.10378803058710932
1.0900000000000002E-6,2.7503895229357794E14,30.50998512112081,0.01891172593453112
1.1E-6,2.725385981818182E14,31.6356856574575,0.14458976247972022
1.11E-6,2.700832954954955E14,32.727779045951436,0.27269100166613275
1.12E-6,2.676718375E14,33.7946784848095,0.40444891449668313
1.1300000000000002E-6,2.6530306017699112E14,34.82150326574443,0.5421033836010739
1.14E-6,2.6297584035087716E14,35.73189408848726,0.6886234836615492
1.15E-6,2.6068909391304347E14,36.34759901676802,0.8465979174049508
1.1600000000000001E-6,2.58441774137931E14,36.37952000271934,1.0162526305989565
1.17E-6,2.5623287008547006E14,35.48372961464256,1.1928364433273513
1.1800000000000001E-6,2.5406140508474572E14,33.41254734279328,1.3614798094548985
1.19E-6,2.5192643529411766E14,30.712798649944787,1.482618781740829
1.2E-6,2.4982704833333334E14,31.393773693104396,1.61456248637757
1.21E-6,2.4776236198347106E14,26.02447630142087,1.8440377062676894
1.2200000000000002E-6,2.4573152295081962E14,21.783474158463726,1.870236433868577
1.23E-6,2.4373370569105688E14,19.806355971102168,1.866430951837493
1.24E-6,2.417681112903226E14,18.79394361096387,1.872710194881995
1.25E-6,2.3983396639999997E14,18.159448118242615,1.8931954121581163
1.26E-6,2.3793052222222222E14,17.665950811471397,1.9236385742240416
1.2700000000000001E-6,2.3605705354330706E14,17.227214224389506,1.9597831894429731
1.28E-6,2.342128578125E14,16.814632401343392,1.998797079016187
1.29E-6,2.323972542635659E14,16.419982263558044,2.0389961133469283
1.3E-6,2.306095830769231E14,16.041654589474305,2.0794174358827173
