% Model,Rectified_200nm_new_800x400_roc5_deformed.mph
% Version,COMSOL 5.5.0.359
% Date,"May 20 2020, 09:09"
% Table,"Field Enhancement - average E at tip surface - average E at tip surface (abs(nx*Ex+ny*Ey+nz*Ez)/E0, nx*Ex+ny*Ey+nz*Ez/E0)"
% lam0 (m),freq (Hz),abs(nx*Ex+ny*Ey+nz*Ez)/E0 (1),(nx*Ex+ny*Ey+nz*Ez)/E0 (1)
1.68E-6,1.784478916666667E14,7.613339881953173,7.6098278561244355+0.22688820624661601i
1.7000000000000002E-6,1.7634850470588234E14,7.540937856824029,7.523228565657693+0.5146415574985795i
1.72E-6,1.742979406976744E14,7.472483637180217,7.430575998679566+0.789110971522533i
1.74E-6,1.72294516091954E14,7.407687264745506,7.332641104691659+1.0509095256830197i
1.76E-6,1.7033662386363634E14,7.3462847323513785,7.230114034117226+1.300621324312472i
1.78E-6,1.6842272921348316E14,7.288035419558313,7.123613551791831+1.5388025421883147i
1.8000000000000001E-6,1.6655136555555553E14,7.232719770061846,7.013695142980007+1.7659825662064228i
1.82E-6,1.6472113076923075E14,7.180137194410196,6.900858023579069+1.9826651786358678i
1.8400000000000002E-6,1.6293068369565216E14,7.130104188985743,6.785551236749823+2.1893297469635997i
1.86E-6,1.6117874086021503E14,7.0824526500130105,6.668178975588225+2.3864323963757768i
1.8800000000000002E-6,1.594640734042553E14,7.037028366987036,6.549105251416265+2.574407150992598i
1.9E-6,1.577855042105263E14,6.993689675724365,6.428658001989145+2.753667034712146i
1.9200000000000003E-6,1.561419052083333E14,6.952306254559421,6.307132719700587+2.9246051265812905i
1.94E-6,1.545321948453608E14,6.916695960142744,6.188687093959991+3.0886159276149616i
1.9600000000000003E-6,1.529553357142857E14,6.904418046369491,6.09077773094806+3.251480744065952i
1.98E-6,1.514103323232323E14,6.89258768099393,5.990913829471944+3.4081412310229977i
2.0E-6,1.49896229E14,6.881182066669357,5.889349049347615+3.558783902541392i
